Date,Forecasted Price,Lower Bound (95%),Upper Bound (95%)
2025-05-31,3199.697218971978,3092.6114753415786,3306.7829626023777
2025-06-30,3195.6284885526497,3017.446760855723,3373.8102162495766
2025-07-31,3205.7390418559694,2973.5880762924908,3437.890007419448
2025-08-31,3235.31260812073,2958.9326332165865,3511.692583024874
2025-09-30,3242.014321625034,2927.465800645865,3556.562842604203
2025-10-31,3260.8626931987965,2912.2840238234157,3609.441362574177
2025-11-30,3268.1692367371165,2888.5964778266152,3647.741995647618
2025-12-31,3278.0525067298413,2869.831665374871,3686.2733480848115
2026-01-31,3326.5594799409555,2891.5730975806405,3761.5458623012705
2026-02-28,3367.2037869374126,2907.0056850205483,3827.401888854277
2026-03-31,3420.222855847561,2936.124931291875,3904.3207804032468
2026-04-30,3508.746528310554,3001.902583921301,4015.590472699807
2026-05-31,3516.166870508112,2980.634864755897,4051.698876260327
2026-06-30,3506.9387301428565,2941.824028099636,4072.053432186077
2026-07-31,3516.11450549126,2922.474827268737,4109.754183713783
2026-08-31,3545.5187093998293,2924.5909472206085,4166.44647157905
2026-09-30,3552.189737961743,2905.1110858850075,4199.268390038478
2026-10-31,3571.032550061071,2898.8173869665547,4243.247713155588
2026-11-30,3578.3380863380567,2881.8926892530226,4274.783483423091
2026-12-31,3588.2211738359415,2868.360642039961,4308.081705631922
2027-01-31,3636.7281139827805,2894.1906971106496,4379.265530854912
2027-02-28,3677.3724149886775,2912.831856900848,4441.912973076507
2027-03-31,3730.3914828134607,2944.47239536725,4516.310570259671
2027-04-30,3818.9151550798083,3012.2272360700294,4625.603074089587
